object,percent_fill,aspect_ratio,hu1,hu2,hu3,hu4,hu5,hu6,hu7
pen,0.7690636316582724,8.524720683108056,0.8724544677990949,0.732003726937581,0.0345969990490858,0.0311855050722303,0.0010243494324495,0.0266721371645944,-1.11420003341472e-06
pen,0.8447813318380386,10.052777249042729,0.9576771883123252,0.8892001835497351,0.0150053638667579,0.0136709000863704,0.000195801631324,0.0128739240852802,6.806055420080726e-07
pen,0.8465601427194838,9.716848644400768,0.9070900459874336,0.7949717801157657,0.0193470184997559,0.0176116032935048,0.0003250908579405,0.0156966150326453,-5.440945580859756e-07
pen,0.5320172667941081,4.325194819133965,0.4332353039530553,0.1536886669531505,0.007673957585188,0.0011424857257957,5.600800305691455e-07,-0.0001291101754062,3.3361878616641414e-06
pen,0.7678208628799341,8.416589168271331,0.8763328502814,0.7387187123677346,0.0331255994027776,0.0298155398172205,0.0009370134646209,0.0256260822347276,-4.769631778885284e-07
mug,0.7156044800377371,1.0792653954018163,0.1719725483273203,0.0010577243586453,0.0005921919985652,3.2030623216050453e-06,-1.3594515344985036e-10,-5.991619341703256e-08,3.129898034448993e-11
can,0.7353635798003887,1.522678271758241,0.1899669315234342,0.0051057322472833,9.460309426427864e-05,1.907040753511984e-05,-6.1586532487826e-10,1.114463468309894e-06,-5.261491271873895e-10
can,0.7940521535475862,1.6410037770399362,0.19648358752261,0.0082944623546378,0.0001309837934792,7.543164126708775e-06,-2.1554126728579486e-10,-6.448116493165603e-07,-9.879438427621936e-11
pen,0.8049867086721645,9.438144223046146,0.9456376289858714,0.8650139079148901,0.03965364917466,0.0362821402156754,0.0013761969568214,0.0337400685054554,1.7038870611038728e-06
pen,0.8476484122899612,9.964686692776086,0.96520061361468,0.9033376694779482,0.013852736059787,0.012684543026506,0.0001681429257636,0.0120485050218199,4.297696285485982e-07
pen,0.7561096145459137,8.922339625752407,0.953448934619424,0.8807501527367971,0.0025112623778025,0.0023630039778447,5.756241754907403e-06,0.002217171639207,-2.3757103113359225e-08
pen,0.7660273697264944,9.069517324936092,0.956992858798728,0.8875188598069187,0.0023438177217706,0.0022091874194737,5.02698145039822e-06,0.0020809667174189,-2.011352719248004e-08
pen,0.830322529716711,11.331334304285216,1.127695610065798,1.2433207669799695,0.0032170808671313,0.0029398666476328,9.040822455139908e-06,0.0032365993602944,7.386694614431228e-08
pen,0.8334084503211228,11.319808524955574,1.120970061879206,1.2282298036510009,0.0031219754020163,0.002847541202072,8.489933149163695e-06,0.0031145346730351,7.17138697016426e-08
mug,0.8735698096650146,1.0816922401541291,0.1690416304528881,0.000519152629403,1.4813337063382266e-05,1.0760796616594846e-06,3.288665432795057e-12,7.996640853510464e-09,2.7645514664465078e-12
mug,0.4643781071421929,1.016085473790949,0.1881951747461828,7.972813744753514e-05,0.0013724841354634,0.0001034107910241,-9.892818460299233e-09,-6.289036730562226e-07,-3.768154019170643e-08
mug,0.7120329553926407,1.1533602518667323,0.180161004214795,0.0005121332619895,0.0005222215532903,6.4374846237329745e-06,3.4196574991075445e-10,1.2329161072992358e-07,1.4958676042272718e-10
glasses,0.6722719743325181,1.3492313784557406,0.1684942194612915,0.001165753496702,0.0001075042328165,2.3386998996073473e-05,1.13879334888101e-09,7.513286070783432e-07,-2.798150918128666e-10
glasses,0.5523132094674954,1.6191479880809614,0.170294067914019,0.0013933921506973,2.1075231452359893e-05,9.726963394447996e-06,1.3903135508341214e-10,3.573752631956962e-07,8.119482511661171e-12
glasses,0.6354585420948086,3.2181696430215183,0.4079458597384344,0.1217141773208908,0.0009985201257441,0.000742072195823,6.359233325705367e-07,0.0002417291565826,6.028704238865688e-08
glasses,0.5567242724716064,3.4446517218413986,0.4802257219135467,0.175101048142421,0.0006815077755356,7.208538657160815e-05,-9.46340427378764e-09,-2.4239453266811437e-05,1.2873284871876692e-08
glasses,0.6285552843913166,2.7944384316065927,0.3648622721138702,0.0867947021726338,0.0006069456388999,0.0004017067508118,1.9438626385174913e-07,0.0001020934761239,-3.946973970840895e-08
glasses,0.6868400482450929,1.3073367315493345,0.1683003815658236,0.0008995661877567,0.0001164848037994,2.523240196549341e-05,1.272655658700871e-09,6.679102165644936e-07,5.016519063280827e-10
